run,epoch,agent,time,c,state,reward,theta,std,theta_maximum,theta_minimum,Regret,name,num_agents,base
26,1,1,5,10,5,-12.023388007222492,-11.573541054068881,6.466477341359562,11.557930874792552,-11.573541054068881,23.581318882015044,Seed Sampling,1,100
27,1,1,5,4,5,8.702726377246032,10.298854006526122,10.487377141699604,13.171492759773237,-15.612250121412092,4.468766382527205,Seed Sampling,1,100
28,1,1,5,3,5,-2.0448166635404617,-2.8975056317220718,5.180695970824314,11.047574347119014,-3.8593421882837036,13.092391010659476,Seed Sampling,1,100
29,1,1,5,10,5,23.38056862349972,21.71071791644558,11.294612969617534,21.71071791644558,-10.96514685657583,0.0,Seed Sampling,1,100
30,1,1,5,5,5,-9.251951706240847,-7.3126473544342065,8.651646790577402,16.139910402104576,-10.49060619705484,25.39186210834542,Seed Sampling,1,100
1,1,1,5,10,5,9.36216152805978,10.074636410662471,9.599310202803096,17.564165469441857,-12.455785386818532,8.202003941382078,UCB,1,100
2,1,1,5,10,5,4.338250390120095,1.8974981222825704,7.141146212796258,11.016491209763734,-12.956661346946941,6.678240819643639,UCB,1,100
3,1,1,5,10,5,1.2651684019631513,0.8118361566132674,7.821517262721813,21.931381613541806,-6.337202580263891,20.666213211578654,UCB,1,100
4,1,1,5,10,5,-0.6209806907304961,-0.8913863706716735,10.980640755968448,14.79450025429409,-21.956597245371633,15.415480945024587,UCB,1,100
5,1,1,5,10,5,-5.191078980247732,-6.571246941368337,8.096500892998655,14.91874550711809,-11.132011194130268,20.10982448736582,UCB,1,100
6,1,1,5,10,5,-5.893217806793579,-5.287493829704651,9.542586637232745,14.090587206649195,-18.72465669625824,19.983805013442776,UCB,1,100
7,1,1,5,10,5,10.436689226510225,9.1346145557186,9.352800080276845,21.22014513866081,-9.037414274637321,10.783455912150586,UCB,1,100
8,1,1,5,10,5,26.187569085049113,26.856844964909037,13.676254585064182,26.856844964909037,-19.017327748112738,0.6692758798599243,UCB,1,100
9,1,1,5,10,5,-16.42626305511113,-16.63907294561978,14.846635575314034,24.986255063448862,-18.214519040682315,41.41251811855999,UCB,1,100
10,1,1,5,10,5,-1.2103431792573862,-0.28337311461734116,7.316728897611558,14.347503179543939,-8.840786891900889,15.557846358801324,UCB,1,100
11,1,1,5,10,5,11.045403586391629,11.3540761039297,12.17247455002629,17.465153131714217,-21.47105946622791,6.419749545322588,UCB,1,100
12,1,1,5,10,5,-2.4774911895009875,-3.1505885019513964,5.871244124591701,12.842580693810529,-4.69614235510539,15.320071883311517,UCB,1,100
13,1,1,5,10,5,11.69803614514718,11.669714014705514,13.240316454841267,11.669714014705514,-29.411670708419972,0.0,UCB,1,100
14,1,1,5,10,5,4.504249808247277,3.9202861756636582,8.300377894174291,12.284035757049313,-15.372054515324367,7.779785948802036,UCB,1,100
15,1,1,5,10,5,-0.4817861752104098,-1.1162482933592135,8.27510327310094,14.119770129445532,-14.486302292213285,14.601556304655942,UCB,1,100
16,1,1,5,10,5,1.4105840216526864,1.4852433468351243,9.687769575008824,9.73379313256868,-20.196304740069255,8.323209110915993,UCB,1,100
17,1,1,5,10,5,-17.933630012806507,-17.91847431835905,7.797843982343594,8.931473989703091,-17.91847431835905,26.865104002509597,UCB,1,100
18,1,1,5,10,5,13.331783325966256,13.355142792310374,9.789222808885054,13.355142792310374,-17.87435898472213,0.02335946634411812,UCB,1,100
19,1,1,5,10,5,6.060838616515434,7.405256665374076,15.105342296791473,28.898233390166602,-15.327564014195104,22.83739477365117,UCB,1,100
20,1,1,5,10,5,12.673873053427481,13.33200876557424,10.33678144369242,15.277349503559213,-16.097713945762223,2.6034764501317316,UCB,1,100
21,1,1,5,10,5,-1.3705170236653337,-1.0543768786019334,5.046160348080966,8.858862077885846,-6.627122363058895,10.22937910155118,UCB,1,100
22,1,1,5,10,5,4.267208384252939,4.5247747170700165,9.81540520762968,26.92207834133565,-9.101613454798752,22.65486995708271,UCB,1,100
23,1,1,5,10,5,-3.6732176675636126,-2.955135537608321,10.277152752926604,11.992345543678328,-16.928614066050446,15.66556321124194,UCB,1,100
24,1,1,5,10,5,20.70214273249223,21.917354481569074,10.115628505381661,21.917354481569074,-13.756745600456115,1.2152117490768433,UCB,1,100
25,1,1,5,10,5,17.915837745860117,17.988213721409338,10.613270669387338,17.988213721409338,-14.945021420564467,0.07237597554922104,UCB,1,100
26,1,1,5,10,5,-14.661304922577898,-16.83904430436806,8.856122606927807,10.438746113918247,-16.83904430436806,25.100051036496147,UCB,1,100
