run,epoch,agent,time,c,reward,theta,std,theta_maximum,theta_minimum,Regret,name,num_agents,base
2,1,4,9,25,3.367506265640259,0.0,8.765462528203136,30.0,0.0,26.63249373435974,UCB,10,100
2,1,5,9,25,1.191445529460907,0.0,8.765462528203136,30.0,0.0,28.808554470539093,UCB,10,100
2,1,6,7,25,3.7585664987564087,0.0,8.765462528203136,30.0,0.0,26.24143350124359,UCB,10,100
2,1,7,6,25,2.918296217918396,0.0,8.765462528203136,30.0,0.0,27.081703782081604,UCB,10,100
2,1,8,5,25,1.1977254748344421,0.0,8.765462528203136,30.0,0.0,28.802274525165558,UCB,10,100
2,1,9,4,25,2.143710643053055,0.0,8.765462528203136,30.0,0.0,27.856289356946945,UCB,10,100
2,1,10,4,25,3.4226115942001343,0.0,8.765462528203136,30.0,0.0,26.577388405799866,UCB,10,100
2,1,1,12,25,2.8951627612113953,0.0,8.765462528203136,30.0,0.0,27.104837238788605,UCB,10,100
2,1,2,11,25,2.9216392040252686,0.0,8.765462528203136,30.0,0.0,27.07836079597473,UCB,10,100
2,1,3,10,25,0.825842022895813,0.0,8.765462528203136,30.0,0.0,29.174157977104187,UCB,10,100
2,1,4,10,25,3.1142208576202393,0.0,8.765462528203136,30.0,0.0,26.88577914237976,UCB,10,100
2,1,5,10,25,3.0432106256484985,0.0,8.765462528203136,30.0,0.0,26.9567893743515,UCB,10,100
2,1,6,8,25,0.8223960399627686,0.0,8.765462528203136,30.0,0.0,29.17760396003723,UCB,10,100
2,1,7,7,25,1.9644477814435959,0.0,8.765462528203136,30.0,0.0,28.035552218556404,UCB,10,100
2,1,8,6,25,2.5752915740013123,0.0,8.765462528203136,30.0,0.0,27.424708425998688,UCB,10,100
2,1,9,5,25,0.8486416339874268,0.0,8.765462528203136,30.0,0.0,29.151358366012573,UCB,10,100
2,1,10,5,25,1.1093526482582092,0.0,8.765462528203136,30.0,0.0,28.89064735174179,UCB,10,100
2,1,2,12,25,2.8293925523757935,0.0,8.765462528203136,30.0,0.0,27.170607447624207,UCB,10,100
2,1,3,11,25,1.0204927921295166,0.0,8.765462528203136,30.0,0.0,28.979507207870483,UCB,10,100
2,1,4,11,25,3.02578604221344,0.0,8.765462528203136,30.0,0.0,26.97421395778656,UCB,10,100
2,1,5,11,25,1.4815099835395813,0.0,8.765462528203136,30.0,0.0,28.51849001646042,UCB,10,100
2,1,6,9,25,1.4652709364891052,0.0,8.765462528203136,30.0,0.0,28.534729063510895,UCB,10,100
2,1,7,8,25,2.3989188075065613,0.0,8.765462528203136,30.0,0.0,27.60108119249344,UCB,10,100
2,1,8,7,25,0.7754085063934326,0.0,8.765462528203136,30.0,0.0,29.224591493606567,UCB,10,100
2,1,9,6,25,1.9821135513484478,0.0,8.765462528203136,30.0,0.0,28.017886448651552,UCB,10,100
2,1,10,6,25,3.20862877368927,0.0,8.765462528203136,30.0,0.0,26.79137122631073,UCB,10,100
2,1,3,12,25,0.7870503664016724,0.0,8.765462528203136,30.0,0.0,29.212949633598328,UCB,10,100
2,1,4,12,25,1.9828829038888216,0.0,8.765462528203136,30.0,0.0,28.01711709611118,UCB,10,100
2,1,5,12,25,1.5413694083690643,0.0,8.765462528203136,30.0,0.0,28.458630591630936,UCB,10,100
2,1,6,10,25,3.3715882301330566,0.0,8.765462528203136,30.0,0.0,26.628411769866943,UCB,10,100
2,1,7,9,25,2.270793229341507,0.0,8.765462528203136,30.0,0.0,27.729206770658493,UCB,10,100
2,1,8,8,25,2.8061931133270264,0.0,8.765462528203136,30.0,0.0,27.193806886672974,UCB,10,100
2,1,9,7,25,1.7591543644666672,0.0,8.765462528203136,30.0,0.0,28.240845635533333,UCB,10,100
2,1,10,7,25,0.41400015354156494,0.0,8.765462528203136,30.0,0.0,29.585999846458435,UCB,10,100
